"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 09 20:26:18 GMT 2024","Wed Oct 09 20:26:26 GMT 2024","7962","Test navigation links on hamburger menu.","","","","","Assert if the ""About"" menu option is redirecting to the correct website.",""
"skipped","Wed Oct 09 20:25:50 GMT 2024","Wed Oct 09 20:25:50 GMT 2024","21","Shopping Cart Functionality","","","","","should reset app state and remove items from the shopping cart",""
"passed","Wed Oct 09 20:26:16 GMT 2024","Wed Oct 09 20:26:18 GMT 2024","1239","Test navigation links on hamburger menu.","","","","","Assert if the ""Logout"" menu option is logging out the user and redirecting to login form.",""
"passed","Wed Oct 09 20:26:30 GMT 2024","Wed Oct 09 20:26:31 GMT 2024","887","Test product page functionalities and information.","","","","","Assert if product description matches with the name in inventory list.",""
"passed","Wed Oct 09 20:26:04 GMT 2024","Wed Oct 09 20:26:05 GMT 2024","832","Assert if inventory listing is working correctly.","","","","","Assert if sorting items ascending in the list by name returns the correct list.",""
"passed","Wed Oct 09 20:25:53 GMT 2024","Wed Oct 09 20:25:55 GMT 2024","1796","Assert if the checkout feature is working as it should.","","","","","Checkout two items and check if the total sum of the price matches.",""
"passed","Wed Oct 09 20:26:09 GMT 2024","Wed Oct 09 20:26:10 GMT 2024","943","Test application login scenarios","","","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Wed Oct 09 20:25:48 GMT 2024","Wed Oct 09 20:25:50 GMT 2024","1758","Shopping Cart Functionality","","","","","should allow a user to remove items from the shopping cart",""
"passed","Wed Oct 09 20:25:57 GMT 2024","Wed Oct 09 20:25:59 GMT 2024","1769","Assert if the checkout feature is working as it should.","","","","","Assert if the user can complete the checkout process.",""
"passed","Wed Oct 09 20:26:00 GMT 2024","Wed Oct 09 20:26:01 GMT 2024","958","Assert if inventory listing is working correctly.","","","","","Assert if the user sees 6 items in the listing.",""
"passed","Wed Oct 09 20:25:52 GMT 2024","Wed Oct 09 20:25:53 GMT 2024","1898","Assert if the checkout feature is working as it should.","","","","","Checkout a single item and check if the pricing matches.",""
"passed","Wed Oct 09 20:26:05 GMT 2024","Wed Oct 09 20:26:06 GMT 2024","842","Assert if inventory listing is working correctly.","","","","","Assert if sorting items descending in the list by name returns the correct list.",""
"passed","Wed Oct 09 20:26:26 GMT 2024","Wed Oct 09 20:26:27 GMT 2024","1392","Test navigation links on hamburger menu.","Go to shopping cart and them try to come back to products listing.","","","","Assert if ""All Items"" menu option is working correctly.",""
"passed","Wed Oct 09 20:26:32 GMT 2024","Wed Oct 09 20:26:32 GMT 2024","892","Test product page functionalities and information.","","","","","Assert if ""Add to cart"" button inside product page is working correctly.",""
"passed","Wed Oct 09 20:26:10 GMT 2024","Wed Oct 09 20:26:14 GMT 2024","3603","Test application login scenarios","","","","","Login with invalid usernames to check error messages.",""
"passed","Wed Oct 09 20:25:47 GMT 2024","Wed Oct 09 20:25:48 GMT 2024","1344","Shopping Cart Functionality","","","","","should allow a user to add multiple items to the shopping cart",""
"skipped","Wed Oct 09 20:26:33 GMT 2024","Wed Oct 09 20:26:33 GMT 2024","20","Test product page functionalities and information.","","","","","Assert if ""Reset App State"" function resets the app state inside the product page.",""
"passed","Wed Oct 09 20:26:32 GMT 2024","Wed Oct 09 20:26:33 GMT 2024","959","Test product page functionalities and information.","","","","","Assert if ""Remove"" button inside product page removes the added item from shopping cart.",""
"skipped","Wed Oct 09 20:26:26 GMT 2024","Wed Oct 09 20:26:27 GMT 2024","1422","Test navigation links on hamburger menu.","","","","","Assert if the ""Reset App State"" menu option clears the shopping cart and reset the page DOM.",""
"passed","Wed Oct 09 20:25:55 GMT 2024","Wed Oct 09 20:25:57 GMT 2024","1697","Assert if the checkout feature is working as it should.","","","","","Checkout two items and verify total matches subtotal plus tax.",""
"passed","Wed Oct 09 20:26:03 GMT 2024","Wed Oct 09 20:26:04 GMT 2024","1637","Assert if inventory listing is working correctly.","","","","","Assert if ""Remove"" button removes the item from the cart counter when clicked.",""
"passed","Wed Oct 09 20:26:06 GMT 2024","Wed Oct 09 20:26:07 GMT 2024","836","Assert if inventory listing is working correctly.","","","","","Assert if sorting items ascending in the list by price returns the correct list.",""
"passed","Wed Oct 09 20:25:45 GMT 2024","Wed Oct 09 20:25:47 GMT 2024","1577","Shopping Cart Functionality","","","","","should allow a user to add a single item to the shopping cart",""
"passed","Wed Oct 09 20:26:07 GMT 2024","Wed Oct 09 20:26:08 GMT 2024","837","Assert if inventory listing is working correctly.","","","","","Assert if sorting items descending in the list by price returns the correct list.",""
"passed","Wed Oct 09 20:26:31 GMT 2024","Wed Oct 09 20:26:31 GMT 2024","812","Test product page functionalities and information.","","","","","Assert if product price matches with the price in inventory list.",""
"passed","Wed Oct 09 20:26:15 GMT 2024","Wed Oct 09 20:26:16 GMT 2024","1165","Test navigation links on hamburger menu.","","","","","Assert menu links consistency.",""
"passed","Wed Oct 09 20:26:29 GMT 2024","Wed Oct 09 20:26:30 GMT 2024","1066","Test product page functionalities and information.","","","","","Assert if product name matches with the name in inventory list.",""
"passed","Wed Oct 09 20:26:01 GMT 2024","Wed Oct 09 20:26:03 GMT 2024","1247","Assert if inventory listing is working correctly.","","","","","Assert if ""Add to cart"" button is working correctly.",""
